px_msmt,py_msmt,px_pred,py_pred,px_error,py_error,px_gt,py_gt,vx_gt,vy_gt,px_rmse,py_rmse,vx_rmse,vy_rmse
1.17385,0.481073,1.11254,0.821251,0.0613057,-0.340178,1.11998,0.600225,5.19943,0.00538996,0.177869,0.0808428,4.29483,1.14027
1.65063,0.62469,1.26278,0.693959,0.387851,-0.0692688,1.6399,0.601347,5.19839,0.0179597,0.242874,0.0792752,3.33855,1.75481
2.18882,0.648739,1.98946,0.702494,0.199359,-0.0537547,2.1597,0.604086,5.19678,0.0376932,0.221374,0.0779532,2.82518,1.57359
2.65526,0.66598,2.5416,0.735105,0.113654,-0.0691248,2.67932,0.609155,5.1945,0.0645654,0.204481,0.0846139,2.49237,1.4195
3.01222,0.637046,3.11494,0.730086,-0.102714,-0.0930402,3.19869,0.617267,5.19147,0.0985415,0.189506,0.08716,2.25511,1.29095
3.89365,0.311793,3.65898,0.644666,0.23467,-0.332873,3.71772,0.62913,5.18754,0.139576,0.175302,0.0816243,2.07589,1.1932
4.30935,0.578564,4.26288,0.586049,0.0464642,-0.00748498,4.23632,0.645449,5.18256,0.187614,0.163473,0.0784142,1.93569,1.11784
4.35143,0.899174,4.79521,0.597018,-0.443779,0.302156,4.75437,0.666921,5.17634,0.242587,0.154044,0.0748334,1.81868,1.05273
5.51894,0.648233,5.22025,0.677832,0.298689,-0.0295998,5.27175,0.694234,5.16867,0.304413,0.14608,0.071104,1.72057,0.997622
6.022,0.708619,5.79561,0.676512,0.226394,0.0321071,5.78828,0.728072,5.15932,0.372999,0.139285,0.0688891,1.63721,0.952077
6.34249,0.948833,6.32883,0.619963,0.0136543,0.32887,6.30379,0.769103,5.14803,0.448233,0.133287,0.0715122,1.56443,0.917405
6.78214,0.714036,6.83005,0.756688,-0.0479087,-0.0426524,6.81808,0.817988,5.13452,0.52999,0.127887,0.0708143,1.50072,0.8835
7.13735,0.957217,7.30806,0.736402,-0.170708,0.220814,7.3309,0.875373,5.11851,0.618123,0.123515,0.072815,1.44604,0.85617
7.80533,0.719126,7.8351,0.839986,-0.0297705,-0.12086,7.84199,0.941886,5.09966,0.712469,0.119207,0.0765917,1.39536,0.832858
8.24796,0.840322,8.32897,0.83029,-0.0810113,0.0100324,8.35106,1.01814,5.07766,0.812843,0.115512,0.0860211,1.34993,0.817213
8.74615,1.04858,8.85141,0.950107,-0.105263,0.0984687,8.85775,1.10473,5.05216,0.919037,0.112074,0.089076,1.30897,0.796549
9.25579,1.04913,9.38722,1.05483,-0.131431,-0.00570057,9.36172,1.20223,5.0228,1.03082,0.108856,0.0925611,1.27187,0.778804
10.0484,1.44598,9.91002,1.16655,0.138371,0.279432,9.86254,1.31118,4.98922,1.14794,0.106553,0.0927282,1.23859,0.759898
10.2492,1.45907,10.4231,1.3978,-0.173924,0.0612649,10.3598,1.4321,4.95106,1.2701,0.104375,0.0904249,1.20644,0.740724
10.7313,1.45265,10.8595,1.55199,-0.128214,-0.0993331,10.853,1.56549,4.90794,1.39701,0.101846,0.0884846,1.17754,0.724719
11.587,1.61462,11.3568,1.61467,0.230124,-4.5853e-05,11.3416,1.71179,4.85948,1.52832,0.0998046,0.0885785,1.14993,0.714445
11.7788,1.74591,11.8694,1.6989,-0.0906647,0.0470075,11.8251,1.87144,4.80531,1.66366,0.0978532,0.0919509,1.1241,0.710029
12.3226,1.78353,12.3633,1.86028,-0.0406745,-0.0767463,12.3029,2.04482,4.74508,1.80265,0.0963616,0.0977324,1.10094,0.707746
12.5924,2.17509,12.8732,1.93579,-0.280805,0.239298,12.7743,2.23227,4.67842,1.94485,0.0952623,0.10626,1.08047,0.707497
13.0875,2.40708,13.3464,2.21477,-0.258914,0.192306,13.2388,2.43409,4.605,2.08981,0.0944363,0.109253,1.06289,0.699716
13.836,2.62479,13.7023,2.5103,0.133691,0.114496,13.6955,2.65053,4.52448,2.23703,0.092702,0.109316,1.04278,0.690211
14.2106,2.94205,14.1707,2.74088,0.0398866,0.201176,14.1439,2.88179,4.43656,2.38601,0.0911093,0.108849,1.02388,0.681227
14.4616,2.90734,14.6599,3.02719,-0.198325,-0.119848,14.583,3.12802,4.34097,2.5362,0.0900587,0.108996,1.0079,0.674248
15.0261,3.5067,15.1024,3.24718,-0.0763526,0.259517,15.0122,3.38932,4.23744,2.68703,0.0893498,0.108352,0.993994,0.666129
15.5236,3.82936,15.5133,3.61865,0.010204,0.210717,15.4306,3.66572,4.12575,2.83789,0.0888063,0.10671,0.97898,0.656529
15.9774,4.00094,15.9371,3.93944,0.0402947,0.0615043,15.8375,3.95719,4.00571,2.98817,0.0889737,0.105004,0.965126,0.6485
16.3313,4.44499,16.3489,4.22035,-0.0176523,0.22464,16.2319,4.26363,3.87716,3.13723,0.0894486,0.103534,0.950932,0.642039
16.6039,4.67344,16.7554,4.59171,-0.151522,0.0817248,16.613,4.5849,3.74,3.28438,0.0904351,0.102189,0.938246,0.635316
16.9955,5.21099,17.0694,4.91848,-0.0739051,0.292509,16.9799,4.92077,3.59416,3.42897,0.0900006,0.101639,0.92455,0.629638
17.2894,5.43542,17.3943,5.32224,-0.104873,0.113177,17.3319,5.27094,3.4396,3.57028,0.0891007,0.10128,0.911466,0.623927
17.7853,5.62476,17.7042,5.65365,0.0811016,-0.0288884,17.6679,5.63506,3.27637,3.70762,0.0881716,0.100034,0.899101,0.623025
18.1263,6.16985,18.04,5.94452,0.0862467,0.225323,17.9872,6.01269,3.10453,3.84027,0.0873693,0.0987551,0.887245,0.624613
18.2164,6.66138,18.3604,6.36774,-0.143983,0.293643,18.2888,6.40332,2.92421,3.96753,0.0865311,0.0979313,0.876175,0.621983
18.5422,6.76013,18.6013,6.8512,-0.0590927,-0.0910701,18.572,6.80638,2.7356,4.08867,0.0855046,0.0970095,0.865567,0.619598
19.1441,7.18344,18.905,7.18537,0.23911,-0.00192261,18.8359,7.22122,2.53893,4.20299,0.0855654,0.0960021,0.858231,0.620703
19.0138,7.8688,19.1911,7.49275,-0.17734,0.376052,19.0798,7.64712,2.3345,4.3098,0.0852758,0.0955839,0.849252,0.623667
19.132,8.12845,19.3856,8.01466,-0.253608,0.11379,19.3028,8.08329,2.12266,4.40842,0.0845747,0.0945393,0.840914,0.622048
19.347,8.30741,19.5525,8.46359,-0.205443,-0.156179,19.5042,8.5289,1.90381,4.49819,0.0836704,0.0941945,0.83394,0.62177
20.0039,8.8906,19.7404,8.78586,0.26349,0.104741,19.6835,8.983,1.67841,4.57848,0.0834758,0.0965471,0.828701,0.626732
20.1574,9.45949,19.9758,9.17366,0.181608,0.285823,19.8398,9.44463,1.44697,4.64869,0.0847055,0.100226,0.824388,0.631997
20.1573,9.90876,20.1375,9.63334,0.0198448,0.275419,19.9728,9.91275,1.21005,4.70826,0.0862828,0.103834,0.81882,0.6356
20.166,10.4687,20.2629,10.1818,-0.0968806,0.286898,20.0818,10.3863,0.968259,4.75666,0.0877953,0.104742,0.814583,0.632362
20.371,11.0109,20.3042,10.7131,0.0668573,0.29776,20.1663,10.864,0.722256,4.7934,0.0885514,0.104598,0.808405,0.628046
20.3164,11.3483,20.3685,11.2926,-0.0521262,0.0557075,20.2261,11.3449,0.472738,4.81807,0.0893382,0.103657,0.803107,0.62224
20.6141,11.9422,20.3398,11.7451,0.274242,0.197077,20.2608,11.8275,0.220439,4.83027,0.0895041,0.102902,0.795896,0.618217
20.3263,12.4966,20.4332,12.2423,-0.10694,0.254358,20.2701,12.3108,-0.0338694,4.82968,0.090279,0.102084,0.791477,0.612724
20.498,12.8924,20.3533,12.7658,0.144734,0.126537,20.254,12.7933,-0.28939,4.81605,0.0905395,0.101116,0.785141,0.607852
20.1943,13.1688,20.3726,13.2138,-0.178339,-0.0449877,20.2122,13.2738,-0.545298,4.78918,0.0914564,0.100391,0.779882,0.603977
20.3245,13.8896,20.2938,13.6511,0.030743,0.23849,20.1449,13.7509,-0.800753,4.74892,0.0922162,0.0998031,0.77541,0.599667
20.1216,14.337,20.2074,14.1391,-0.0858901,0.19796,20.0521,14.2233,-1.0549,4.69521,0.092849,0.0991127,0.770331,0.595277
19.781,14.773,20.0583,14.6415,-0.277323,0.131502,19.934,14.6897,-1.30687,4.62805,0.0926177,0.0983252,0.764649,0.590367
20.0208,15.2053,19.8565,15.1386,0.164312,0.0666827,19.7908,15.1486,-1.55581,4.54751,0.0923743,0.0974717,0.76008,0.58527
19.9131,15.554,19.7088,15.5087,0.204278,0.0453308,19.6229,15.5989,-1.80085,4.45372,0.0926711,0.0972796,0.754302,0.583426
