rho_msmt,phi_msmt,rho_dot_msmt,rho_pred,phi_pred,rho_dot_pred,rho_error,phi_error,rho_dot_error,px_gt,py_gt,vx_gt,vy_gt,px_rmse,py_rmse,vx_rmse,vy_rmse
1.01489,0.554329,4.89281,0.659007,1.07719,0,0.355885,-0.522857,4.89281,0.859997,0.600045,5.19975,0.00179686,0.211208,0.0876373,3.81773,1.3965
1.04751,0.38924,4.51132,1.79282,0.302758,9.84434,-0.745318,0.0864824,-5.33302,1.37996,0.600629,5.19898,0.0107781,0.232328,0.0723767,3.73094,1.62848
1.6983,0.29828,5.20999,1.80186,0.468721,5.43513,-0.103561,-0.170441,-0.225145,1.89982,0.60247,5.19766,0.0269323,0.233595,0.0747625,3.04874,1.6587
2.04438,0.276002,5.04387,2.42799,0.312417,5.54061,-0.383612,-0.0364156,-0.496744,2.41954,0.606284,5.19573,0.0502389,0.21315,0.0798946,2.64297,1.49142
2.99092,0.217668,5.19181,2.933,0.261116,5.3382,0.0579199,-0.0434481,-0.146394,2.93904,0.612786,5.19309,0.080668,0.196108,0.0858565,2.3649,1.35091
3.59388,0.135452,5.16175,3.44137,0.215473,5.26644,0.152506,-0.0800211,-0.104689,3.45825,0.622685,5.18963,0.11818,0.182434,0.0836817,2.15951,1.2364
4.25555,0.16484,5.43333,4.01862,0.141071,5.33944,0.236926,0.0237685,0.0938905,3.97708,0.636689,5.18519,0.162724,0.168955,0.0794735,2.00191,1.15306
4.67026,0.14818,5.12085,4.58197,0.125846,5.42768,0.088293,0.0223341,-0.306838,4.49542,0.655498,5.17962,0.214238,0.158494,0.0771095,1.87465,1.08506
5.25142,0.127163,4.82591,5.02264,0.136735,5.17458,0.228774,-0.00957155,-0.34867,5.01315,0.679804,5.1727,0.272649,0.150082,0.0727526,1.7677,1.02362
5.26729,0.121683,5.42351,5.56771,0.120681,5.10774,-0.300417,0.00100261,0.315766,5.53013,0.710295,5.16422,0.337868,0.142381,0.0698433,1.67717,0.973822
5.90575,0.0633,4.87968,6.13802,0.11229,5.31522,-0.232274,-0.0489902,-0.435541,6.04618,0.747647,5.15393,0.409793,0.136197,0.0722168,1.59958,0.936466
6.67392,0.125614,5.00687,6.62211,0.10972,5.10648,0.0518142,0.0158947,-0.0996066,6.5611,0.792523,5.14157,0.488305,0.13052,0.070698,1.53157,0.899409
7.31844,0.0862923,4.64911,7.11568,0.106323,5.04727,0.20276,-0.0200308,-0.39816,7.07469,0.845578,5.12685,0.573269,0.12542,0.0730346,1.47238,0.8708
8.12494,0.101047,5.46424,7.56273,0.109389,4.82282,0.562209,-0.00834195,0.641419,7.58668,0.907449,5.10946,0.664531,0.121303,0.0732837,1.42002,0.842841
8.45095,0.104862,4.75054,8.13093,0.100187,5.15605,0.320025,0.00467501,-0.405514,8.0968,0.978759,5.08907,0.761915,0.117243,0.0807971,1.37206,0.824422
8.57549,0.165312,5.5806,8.6051,0.0986681,4.95386,-0.0296098,0.0666434,0.626737,8.60472,1.06011,5.06537,0.865226,0.113724,0.087962,1.32901,0.80695
9.94666,0.115056,5.2408,9.14898,0.11122,5.2323,0.797687,0.0038353,0.00849689,9.1101,1.15208,5.03798,0.974245,0.110443,0.0904711,1.29006,0.787093
10.216,0.14981,5.31165,9.68732,0.1124,5.24311,0.528684,0.0374095,0.0685405,9.61255,1.25524,5.00656,1.08873,0.107489,0.0936496,1.25477,0.770042
10.6781,0.162309,4.80661,10.2748,0.128097,5.36134,0.40323,0.0342116,-0.554734,10.1117,1.37011,4.97074,1.20841,0.1056,0.0915969,1.22221,0.750152
11.0406,0.154906,4.56401,10.7438,0.138304,5.07077,0.296856,0.0166015,-0.506756,10.6069,1.49721,4.93014,1.33298,0.103094,0.0892889,1.1917,0.731923
11.5668,0.123838,5.14205,11.187,0.141092,4.80098,0.379856,-0.0172532,0.341071,11.0979,1.637,4.8844,1.46213,0.100651,0.0881879,1.16344,0.718806
11.5791,0.133321,4.86948,11.7605,0.141593,5.05517,-0.181402,-0.00827184,-0.185687,11.584,1.78992,4.83313,1.59551,0.0988692,0.0900991,1.1368,0.712081
12.3248,0.175289,5.27755,12.2236,0.145426,4.93159,0.101252,0.0298632,0.345964,12.0647,1.95639,4.77598,1.73273,0.0970527,0.093731,1.11227,0.707433
